seed,batch_size,hidden_size,num_layers,epochs,space,representation,pwl_mse,test_tagates,key,spr,kdt
None,32,32,3,20,nb101,adjgin_zcp,pwl,True,364,0.7957847146341919,0.6013307969209936
None,32,32,3,20,nb101,adjgin_zcp,pwl,True,364,0.790608529088002,0.591890824886735
None,32,32,3,20,nb101,adjgin_zcp,pwl,True,364,0.7874280857701497,0.5940368273847261
None,32,32,3,20,nb101,adjgin_zcp,pwl,True,364,0.8080000241428691,0.6125640764565299
None,32,512,5,20,nb101,adjgin_zcp,pwl,True,364,0.7730379209528592,0.5828750728656128
None,32,512,5,150,nb101,adjgin_zcp,pwl,True,364,0.8181420745823667,0.6269549864658487
None,16,512,2,150,nb101,adjgin_zcp,pwl,True,364,0.8505697073148865,0.6650705709919602
None,16,512,2,150,nb101,adjgin_zcp,mse,True,364,0.8482102445494903,0.6606995801926232
None,16,512,2,150,nb101,adj_gin,pwl,True,364,0.664108085107072,0.4829877184988871
None,16,512,2,150,nb101,adj_gin,pwl,True,364,0.6395237450169751,0.4573694535432591
None,16,512,2,150,nb101,adj_gin,pwl,True,364,0.5911290900953577,0.42104418700437146
None,16,512,2,150,nb101,adj_gin,pwl,True,364,0.6447286580199839,0.4664503582609659
None,16,512,2,150,nb101,adj_gin,pwl,True,364,0.6594690805932184,0.47165632647572553
None,16,512,2,150,nb101,adj_gin,pwl,True,364,0.5667927060563759,0.3974127067097383
None,16,512,2,150,nb101,adj_gin,pwl,True,364,0.62172925832031,0.4474452647369384
None,16,512,2,150,nb101,adj_gin,pwl,True,364,0.028944624566989603,0.019441119521111497
None,16,512,2,150,nb101,adj_gin,pwl,True,364,-0.2092268487827904,-0.14014276668225217
None,16,512,2,150,nb101,adj_gin,pwl,True,364,0.7381025601721959,0.5460583390516568
None,16,512,2,150,nb101,adj_gin,pwl,True,364,0.690479014821104,0.5088119793788557
None,16,512,2,150,nb101,adj_gin,pwl,True,364,0.6546470189316449,0.47495298830573884
None,16,512,2,150,nb101,adjgin_zcp,pwl,True,364,0.8103246239076077,0.6175179300669951
None,16,512,2,150,nb101,adjgin_zcp,pwl,True,364,0.9112865313246936,0.7386685047701621
None,16,512,2,150,nb101,adjgin_zcp,pwl,True,364,0.8450591187786571,0.6590929796889646
None,16,512,2,150,nb101,adjgin_zcp,pwl,True,364,0.9051974018184759,0.7335008587328209
None,16,512,2,150,nb101,adjgin_zcp,pwl,True,364,0.8946532776141499,0.7148278997056332
None,16,512,2,150,nb101,adjgin_zcp,pwl,True,364,0.9110339465799141,0.7381707715569359
None,16,512,2,150,nb101,adjgin_zcp,pwl,True,364,0.906453166745312,0.7310998621997065
None,16,512,2,150,nb101,adjgin_zcp,pwl,True,364,0.7981547896059612,0.6013232144044754
None,16,512,2,150,nb101,adjgin_zcp,pwl,True,364,0.8721773999609597,0.690267668833421
None,16,512,2,150,nb101,adjgin_zcp,pwl,True,364,0.9090318193712168,0.7382710932619057
None,16,512,2,150,nb101,adjgin_zcp,pwl,True,364,0.029879661813742586,0.0237545544405393
None,16,512,2,150,nb101,adjgin_zcp,pwl,True,364,0.8728870904446173,0.6879589576331968
None,16,512,2,150,nb101,adjgin_zcp,pwl,True,364,0.90821895608936,0.7340319007012455
None,16,512,2,150,nb101,adjgin_zcp,pwl,True,364,0.8723108342403003,0.6859799452746783
None,16,512,2,150,nb101,adjgin_zcp,pwl,True,364,0.9060308395774751,0.7306453280327097
None,16,512,2,150,nb101,adjgin_zcp,pwl,True,364,0.8614824906083061,0.6755648135476362
None,16,512,2,150,nb101,adjgin_zcp,pwl,True,364,0.873733733493743,0.6883475727642727
None,16,512,2,150,nb101,adjgin_zcp,pwl,True,364,0.8739254915655866,0.688475032297103
None,16,512,2,150,nb101,adjgin_zcp,pwl,True,364,0.8347691903005964,0.6439850130594715
None,16,512,2,150,nb101,adjgin_zcp,pwl,True,364,0.8534512709397583,0.6652765199641957
None,16,512,2,150,nb101,adjgin_zcp,pwl,True,364,0.8664819513860016,0.6814181044493135
None,16,512,2,150,nb101,adjgin_zcp,pwl,True,364,0.8643128556332964,0.6739121430764332
None,16,512,2,150,nb101,adjgin_zcp,pwl,True,364,0.8978325510719077,0.7196155941463852
None,16,512,2,150,nb101,adjgin_zcp,pwl,True,364,0.8994066806429079,0.721709449721465
